"id","UniqueID","Gene.Name","Protein.ID","GeneType"
284,"ADAM1A","ADAM1A","","protein_coding"
285,"ADAM2","ADAM2","","protein_coding"
286,"ADAM20","ADAM20","","protein_coding"
287,"ADAM20P1","ADAM20P1","","protein_coding"
288,"ADAM21","ADAM21","","protein_coding"
289,"ADAM21P1","ADAM21P1","","protein_coding"
290,"ADAM22","ADAM22","","protein_coding"
291,"ADAM23","ADAM23","","protein_coding"
292,"ADAM28","ADAM28","","protein_coding"
293,"ADAM29","ADAM29","","protein_coding"
294,"ADAM30","ADAM30","","protein_coding"
295,"ADAM32","ADAM32","","protein_coding"
296,"ADAM33","ADAM33","","protein_coding"
297,"ADAM3A","ADAM3A","","protein_coding"
298,"ADAM3B","ADAM3B","","protein_coding"
299,"ADAM5","ADAM5","","protein_coding"
300,"ADAM6","ADAM6","","protein_coding"
301,"ADAM7","ADAM7","","protein_coding"
302,"ADAM8","ADAM8","","protein_coding"
303,"ADAM9","ADAM9","","protein_coding"
304,"ADAMDEC1","ADAMDEC1","","protein_coding"
305,"ADAMTS1","ADAMTS1","","protein_coding"
306,"ADAMTS10","ADAMTS10","","protein_coding"
307,"ADAMTS12","ADAMTS12","","protein_coding"
308,"ADAMTS13","ADAMTS13","","protein_coding"
309,"ADAMTS14","ADAMTS14","","protein_coding"
310,"ADAMTS15","ADAMTS15","","protein_coding"
311,"ADAMTS16","ADAMTS16","","protein_coding"
312,"ADAMTS17","ADAMTS17","","protein_coding"
313,"ADAMTS18","ADAMTS18","","protein_coding"
314,"ADAMTS19","ADAMTS19","","protein_coding"
315,"ADAMTS19-AS1","ADAMTS19-AS1","","protein_coding"
316,"ADAMTS2","ADAMTS2","","protein_coding"
317,"ADAMTS20","ADAMTS20","","protein_coding"
318,"ADAMTS3","ADAMTS3","","protein_coding"
319,"ADAMTS4","ADAMTS4","","protein_coding"
320,"ADAMTS5","ADAMTS5","","protein_coding"
321,"ADAMTS6","ADAMTS6","","protein_coding"
322,"ADAMTS7","ADAMTS7","","protein_coding"
323,"ADAMTS7P1","ADAMTS7P1","","protein_coding"
324,"ADAMTS8","ADAMTS8","","protein_coding"
325,"ADAMTS9","ADAMTS9","","protein_coding"
326,"ADAMTS9-AS1","ADAMTS9-AS1","","protein_coding"
327,"ADAMTS9-AS2","ADAMTS9-AS2","","protein_coding"
328,"ADAMTSL1","ADAMTSL1","","protein_coding"
329,"ADAMTSL2","ADAMTSL2","","protein_coding"
330,"ADAMTSL3","ADAMTSL3","","protein_coding"
331,"ADAMTSL4","ADAMTSL4","","protein_coding"
332,"ADAMTSL4-AS1","ADAMTSL4-AS1","","protein_coding"
333,"ADAMTSL5","ADAMTSL5","","protein_coding"
334,"ADAP1","ADAP1","","protein_coding"
335,"ADAP2","ADAP2","","protein_coding"
336,"ADAR","ADAR","","protein_coding"
337,"ADARB1","ADARB1","","protein_coding"
338,"ADARB2","ADARB2","","protein_coding"
339,"ADARB2-AS1","ADARB2-AS1","","protein_coding"
340,"ADAT1","ADAT1","","protein_coding"
341,"ADAT2","ADAT2","","protein_coding"
342,"ADAT3","ADAT3","","protein_coding"
343,"ADCK1","ADCK1","","protein_coding"
344,"ADCK2","ADCK2","","protein_coding"
345,"ADCK5","ADCK5","","protein_coding"
346,"ADCY1","ADCY1","","protein_coding"
347,"ADCY10","ADCY10","","protein_coding"
348,"ADCY10P1","ADCY10P1","","protein_coding"
349,"ADCY2","ADCY2","","protein_coding"
350,"ADCY3","ADCY3","","protein_coding"
351,"ADCY4","ADCY4","","protein_coding"
352,"ADCY5","ADCY5","","protein_coding"
353,"ADCY6","ADCY6","","protein_coding"
