"","PS.rep1","PS.rep2","ART.rep1","ART.rep2","RS.rep2","RS.rep3"
"ALOX12B",0.0608457,0.0368407,0.057172,0.313279,0.205895,0.0294648
"ALOX12P2",2.4526,4.18283,1.79733,9.23064,7.19393,4.84511
"ALOX15",1.93652,1.02604,2.30044,6.10266,2.48423,3.14429
"ALOX15B",2.744532,2.02774,0.516529,1.67666,1.84348,0.295791
"ALOX15P1",7.91433,12.5042,10.4005,6.38531,9.48114,1.78684
"ALOX5",0.460749,0.810401,1.18562914,1.3095071668214,1.459633,1.08966
"ALOX5AP",0.955646,0.725676,0.535669,4.758001,1.31218,2.154337
"ALOXE3",0.185336,0.365212,0.0217975,0.465477,0.13054,0.291502
"ALPI",0,0,0,0,0,0
"ALPK1",2.440036521193,9.39458,12.6367,9.095466395,11.0150758557,9.86466
"ALPK2",1.40049,1.2709,2.19737,7.06885,6.32884,7.35379
"ALPK3",0.154138,0.73932,1.10973,0.439579,1.04751,1.00877
"ALPL",1.51637,1.37753,1.17649,2.73683,1.24972,3.27578
"ALPP",0.0854157,0.593131,0.312865,0.290836,0.258037,0.47744
"ALPPL2",0,0.1109,0,0.0185082,0.309909,0.561762
"ALS2",6.63543,16.47565,14.08684,13.01909,15.34028,15.66657
"ALS2CL",0.287991,1.369977,1.68466,0.9356854,1.718264,1.94711
"ALS2CR12",36.71558,50.43016,63.74933,171.859367,155.54338,104.738194
"ALX1",3.4504,2.20276,1.17902,7.14663,3.86024,3.18783
"ALX3",2.0236,1.63353,2.48472,1.80907,1.53305,1.7886
"ALX4",0,0.276811,0.16423,0.11595,0.693936,0.220342
"ALYREF",500.639,396.82,328.227,102.182,133.538,106.656
"AMACR",3.30782,4.03466,6.26664,7.880638,7.575085,8.21499
"AMBN",0,0,0.0363238,0,0.0437166,0
"AMBP",0.224527,0.135281,0,1.33242,1.96908,1.47113
"AMBRA1",12.156662,13.581034,14.122345,18.12181,14.48615,14.79284
"AMD1",63.03552,31.59673,26.16512,53.67631,20.58994426876,23.11561
"AMDHD1",0.3127,0.0872899,0,0.494059,1.62906,0.349618
"AMDHD2",51.38913,55.541174,34.629717,36.303,52.196629,36.68689
"AMELX",0,0,0,0,0.140227,0
"AMELY",0.22343,0.53385,0,0,0,0
"AMER1",0,0.422774,0.394175,0.154673,0.491231,0.636834
"AMER2",0.713246,1.2885,1.94441,2.10366,2.40953,2.77358
"AMER3",0.27986289741691,2.081738,1.83507,0.54758907449002,1.776133706058,2.57523
"AMFR",422.27516,174.45387,147.960863,201.24315,102.44976,100.79059
"AMH",0.196656,1.47657,1.58044,0.383589,0.761644,0.898817
"AMHR2",0.593984,0.055383,0,0.46890258,0.362879,0.262818
"AMIGO1",4.25084,2.95637,4.27889,3.64323,2.27506,2.35382
"AMIGO2",1.32459,2.494672,3.0507,1.73071,2.04933,2.340512
"AMIGO3",1.11423,3.22303,2.71513,1.97504,4.08204,4.31465
"AMMECR1",0.252517000118865,0.6738552,0.924807,1.42888,1.011152,0.981181
"AMMECR1L",17.7319,14.39738,13.15263,15.13935,9.63202,11.3308
"AMN",0.511208,0.678271,0.86133,1.70866,1.67655,2.52963
"AMN1",417.73501,96.063434,84.007333,270.52865,117.559151,69.97156
"AMOT",0.60422,1.954047,2.05747,1.588948,2.499278,3.93403
"AMOTL1",15.42988,22.94619,21.95567,30.7126,42.32138,30.85234
"AMOTL2",0.8523705,1.374055,1.56225,2.45242551594,2.65903,2.713986
"AMPD1",0.212657974,0.270318057,0.419504578,0.255302652,0.143947748,0.370776974
"AMPD2",6.166744488,6.596461,6.1134467,6.084808,3.64443,3.952899
"AMPD3",0.2413657,0.63737598471,1.21794912311474,3.02198,0.961145,0.89099374
"AMPH",2.19157,2.28208,1.30132,3.31957,3.80662,2.874483
"AMT",3.6674599021,3.57776,2.37281293,2.3238737127,1.316766,2.5674
"AMTN",0,0.20381288,0,0,0,0
"AMY1A",1.218275,2.95164e-07,11.4778,65.37598052,60.5144,13.119700375991
"AMY1B",0,3.52543,0,3.00245,0,24.1003
"AMY1C",17.9493000932964,5.51362361,0.0986577,15.74974,6.361026,0.124223
"AMY2A",0.726842,0.300174,0.397274,1.2746,2.12351,1.0817
"AMY2B",2.11169,21.9158,34.0885,4.39,41.9013,47.0799
"AMZ1",1.010933,0.81755100017744,0.9385840554987,3.349586,2.96877,3.27392
"AMZ2",623.040334960921,333.7387760252,219.981069,768.78793845,499.8952017,206.886862
"AMZ2P1",41.5446,19.6457,16.889,57.1007,33.3226,17.3728
"ANAPC1",21.1989,19.431,16.2253,13.924,12.2127,13.3007
"ANAPC10",21.981594,66.47701,77.54156,19.1086637127837,75.954883,59.963362
"ANAPC11",179.240105,85.7216017,86.551304,79.937691,75.78438,45.621359
"ANAPC13",11.45317,6.80822,7.10162,25.56546,8.431764,9.21393
"ANAPC15",44.301929,88.41239,103.85184,26.9461411,54.854161,73.36471
"ANAPC16",32.6424113,26.193038,21.693077,17.81917,17.647226,15.710826
