"","PS.rep1","PS.rep2","PS.rep3","RS.rep1","RS.rep2","RS.rep3"
"LINC02012",0.233955531578869,1.25635250260149,1.69050202318226,0.550115585582697,1.21698869546311,1.52606881166759
"LINC02014",1.47127591868746,3.47908825105418,3.14882349908844,2.40962717932313,3.58485429453531,3.07074137122522
"LINC02015",0.22617679511977,0.720765265306119,0.969216444555403,0.159365679405101,0.574897859426633,1.05968752995909
"LINC02016",0,5.04108962639428,5.42806867279316,0.39747222649604,4.82162858924377,4.90820765571326
"LINC02017",0.205201058533617,0,0,1.35937498191806,1.22078807712591,1.09355341562616
"LINC02021",2.45845550203116,3.5051960844458,3.49733900042159,2.37842367166365,2.95280134124396,3.31864367055697
"LINC02022",2.02245304049495,3.50633535358042,4.28132732965948,1.77345626800285,3.47334533520958,3.87493463983779
"LINC02024",2.2774135054633,1.77382757898069,1.71038437506158,3.38640952900965,4.32789570648329,4.11507487135768
"LINC02025",3.11178585827529,4.51494281607547,5.00961590561961,3.52145282582243,5.50802608699079,4.99947692823519
"LINC02026",0.576007367963283,0.0829921891246448,0.675691298611761,1.1168371486609,0.0778997884573603,0.892873592265938
"LINC02027",0.525655981525983,1.11968153531827,0,0.236040681738966,0,0
"LINC02028",3.06144961048924,5.16102011199895,4.82136495741206,3.45488258798954,5.15772890841765,4.56190639744602
"LINC02029",2.8107844567256,0.70230203371717,2.10731961708878,4.70854041575034,3.37442885095676,2.50630996161955
"LINC02032",5.31654402178666,3.37367744074998,4.86958027212793,6.77146305836565,5.70638688368025,5.50805778913945
"LINC02033",0,0.276477608242533,0,0,0,0
"LINC02035",1.03814115055785,1.69165922284601,1.73029649384366,1.84136130261605,1.36962840259956,1.58807056270256
"LINC02036",1.45684819437491,0.311413598172057,0.356718519545359,2.52126184755776,0.426577148231609,1.41640200398176
"LINC02037",0.5649497674334,0.23747071716654,0.175079987705541,0.286667092726798,0.481052959676214,0.142233048870123
"LINC02038",0,0.105516234903048,0,0.0998682629801056,0.359292884952235,0.0431364505910159
"LINC02039",1.98245517221985,4.02733986262299,2.93528246458133,3.64324435735975,3.83539862744364,4.13419629214051
"LINC02041",2.02896866682443,1.43532455603834,0.412223304345249,1.6463884926984,1.59718312154377,0.83114517142798
"LINC02042",1.51109352755872,2.33024286561823,2.26825172448336,2.29661892143882,2.35595500770035,2.32689682663604
"LINC02043",5.12537833907517,7.24256439937604,7.27189250424363,5.63689138571539,6.67267991275254,6.92192422428095
"LINC02044",0.116772220567926,0.997219412828544,0.531561622381383,0.501803944825628,0.778382698760864,0.576910029248363
"LINC02046",2.15788449808015,3.46941715442679,3.1056210929966,2.21686766985747,3.43313439022907,3.611113348761
