Geneid	Length	genome_mapping/High_6555c3.rep5.RNAseq.mm10.sorted.bam
Trim38	1480	22
Specc1	10856	6379
Sec14l3	3928	81
Rilp	1487	562
Gm4788	2887	1600
Tceal3	1431	10
Safb2	3277	6279
Sec23ip	4577	3809
Man1b1	3742	5601
Fcrlb	1284	322
Kcp	4888	243
Doxl2	2492	0
Fat2	14423	195
Mettl17	1623	1201
Zc3h18	3816	7229
Mcat	1893	1646
Ndufs5	509	966
Rdh8	3354	0
Kcnk15	1032	8
Spry3	4346	28
Prr7	1360	104
Tmprss11c	1615	0
Pmp2	1364	2
Dkc1	2978	3548
Abca17	5348	8
Gm16367	2037	0
Nudt10	1751	28
Gsk3a	2259	2267
Lin28b	5403	2
Mrpl41	2423	1218
Kcnh8	4287	0
Smg1	15553	14258
Agxt2	2286	1029
Bglap2	473	0
Pecam1	3333	3949
Pear1	4713	10048
Sybu	4355	54
Klhdc9	1555	12
Ccdc189	2573	66
Acmsd	2303	207
Lrrc14b	2746	94
Rnf17	5147	2
Cd69	1621	82
Gm14288	428	0
Ntrk1	2588	34
Cd27	1576	35
Bbs1	5597	376
Krtdap	462	0
Commd6	875	881
Rnf149	2434	5816
Rmdn3	2252	2734
Spindoc	3618	2124
Sdhaf1	967	928
Ecscr	1244	994
Rnf166	1875	3407
Dipk2a	3950	1866
1700029J07Rik	2744	136
Ttc9	4778	778
Plekhm2	4163	3250
Dnajb14	1851	1531
Fbxo33	3446	1574
5730507C01Rik	2542	11
Rasl12	3876	221
Zfp597	5630	1124
Tradd	1385	1641
Shcbp1l	2045	10
Ephx3	2423	18
2510002D24Rik	1232	1447
Dnajc25	1827	1227
Selenoh	685	2166
Slc22a23	6287	5714
1700066B19Rik	2504	106
Fam83e	2900	976
Klrg2	2282	875
Rab11fip2	6080	1604
Usp31	10387	2127
Osbp	4587	7876
Cln6	2142	1239
Slc6a21	1732	0
Krt76	2312	14
Tmem181a	4620	997
Jrkl	2952	1006
1700057G04Rik	1052	0
Ccdc190	1443	14
Skap1	2190	12
C77080	5659	14405
Naa11	3364	40
Fam8a1	3717	4974
Gtf3c3	4764	1842
Znfx1	7349	3083
AU015228	2982	6
Clca4b	2997	0
Ncbp1	3111	5103
Usp30	2790	2559
Rpusd3	1277	436
Zfp575	2741	14
Pwwp2b	2640	2308
Nlrc5	6945	963
Myzap	2283	4675
Xylb	3978	1791
Pls1	3697	5405
Ezhip	2203	0
Rprml	1072	8
Ttc7b	3508	1106
E330034G19Rik	1587	0
Zfp957	2751	0
Prickle1	4356	1103
Slc45a4	7657	2094
AU021092	1372	191
Mpig6b	2382	0
Pdzd8	7076	5141
Lin7a	6835	246
Pnrc1	1925	5841
Calr4	2527	6
Slc5a10	2263	0
Itga1	5982	3045
Cyp11b1	2398	0
Mcrip1	1694	2810
Tmprss11a	2657	0
Gm9	1663	0
Trim40	2197	8
Vcpkmt	1980	697
Yeats2	7344	3720
Cblb	6322	4820
Csta1	2731	0
Wfdc6a	867	0
Gm382	4070	0
Cln5	2447	2179
Fancd2	5515	837
Hk3	3269	343
Ccdc110	4116	0
Cfap44	6583	0
Gm266	1215	20
Zfp583	2765	9
Lemd1	1252	8
Gpr174	5384	24
Gm732	1661	0
Plekhg1	7414	695
Pak6	4193	1832
Gm136	1303	0
Spata5l1	1321	652
Phactr2	9042	1331
Arfgef3	8216	10
Mcu	2872	6215
Stox1	3475	10
Zfc3h1	6956	4561
Marchf9	1998	470
Agap2	5634	270
Gls2	2489	2839
Gm525	581	6
Qrich2	2162	1
Fam120a	5151	27122
Eif4e1b	2113	0
Slc4a7	7925	3151
Pip4p1	1608	2506
Spata13	7844	5190
5031439G07Rik	7157	6291
Brd1	5137	6776
Gxylt1	6734	3639
Kmt2d	19827	10309
Spryd3	2437	4127
Ilrun	3812	14645
Gm94	748	0
Prdm6	2601	4
Oosp3	807	0
Cryzl2	1632	466
Cdc42bpa	9451	7088
Slc30a10	5835	195
Sbspon	2748	98
Slc9a2	3493	855
Gpr55	2550	108
Usp40	5316	1625
Espnl	5442	28
Uap1l1	1729	5928
Ddx31	3437	969
Sel1l2	2219	0
Smim26	460	449
Kiz	2166	1891
Zfp217	5843	4751
Gmps	4567	6842
Fhdc1	6073	1974
Ciart	1395	722
Ampd1	2342	44
Elapor1	6151	410
Ndufb6	659	2305
Shb	2744	4216
Themis2	2542	400
Cox18	1334	1067
Vsig10	4054	1474
Fbxl18	2831	1201
Pdap1	2139	9103
Ccdc61	2010	1453
Hipk4	2414	36
Ffar3	1625	0
Cnga4	2480	7
Cog7	2884	2453
Ppfia1	5259	5397
Tmem231	3000	458
Gucy1a2	13723	80
Zbtb16	7782	4346
Pate14	619	13
Dhrsx	1926	2583
Tmem185a	2513	1514
Arhgef9	5527	187
Frmpd4	9714	6
Gas2l3	6748	1693
Tmtc3	6630	2771
Myrfl	3114	0
Syndig1l	2499	0
Serpina3f	2290	224
Abcc4	5895	6180
Ttc38	3751	1910
Rimbp3	5848	2
Mmp25	3655	130
Lrrc30	1759	12
Zfp407	7908	1743
Cdc42bpg	5994	5759
Sec31b	3923	523
Dusp27	4025	334
Lrrc55	5912	260
D430041D05Rik	10402	0
Ralgapa2	9610	4521
Ankub1	1759	6
Bank1	3267	122
Grin3a	7711	44
Klhl21	3895	4691
Iqsec3	7795	9
Zfp568	7183	3315
Ntn5	2216	17
Cntn5	4270	56
Gpr101	5410	0
Pgr15l	5379	0
Gm614	777	30
Cdhr2	4127	4913
Mroh5	2350	0
Mucl3	2608	3888
Nlrc4	3838	987
Acvr1c	9049	4
Lrrc36	2498	19
Gm648	1040	6
Cdk15	1605	2
Srarp	905	0
Washc4	5858	3918
Dcp1b	3311	298
Itpripl2	6864	15572
Cacna2d4	5949	41
Zfp865	3958	2473
Tbc1d32	7239	887
Fubp3	3821	5920
Ipcef1	8804	20
Tmem104	4566	1392
Tmem88b	3471	44
Krt26	2600	0
Gfod1	6654	2369
Nutm2	2548	0
Ftdc1	702	0
Treml2	4509	228
Gm815	618	0
Rbm44	3851	22
Lgr6	3623	997
Rnf224	2021	4
Gm826	1097	19
Gm829	1090	0
Shisa3	3754	26
Bsph1	823	0
Ceacam16	1635	144
Dock1	6815	5601
Pate2	2215	4
Thoc2	7619	5393
Gm773	951	0
Fnd3c2	3658	0
Zscan10	2735	10
Grxcr2	1998	0
Lyg2	2564	0
Tmem211	1827	0
Trim75	2504	2
Kdm7a	9553	3426
Nlrp12	4329	985
Heca	3667	1818
Tmem102	1941	0
Gm884	4576	0
Milr1	2474	211
Atxn7l1	6485	2202
Lsmem1	1213	128
Gm906	3152	0
Lrch1	4707	1829
Alg10b	3727	4346
Gm1604b	781	0
Cdkl4	3341	19
Capn13	2614	38
Garem1	4783	2094
Arl14epl	2247	4
Gm960	2262	73
Ap5b1	3142	468
Tmem237	2135	1209
Ifi211	1789	381
Zfp408	3742	2068
Accsl	2687	0
Pdp1	4398	1521
Ccdc27	2084	0
Nom1	3693	4182
Gm1673	552	55
Drc1	2466	90
Lrrc43	2046	4
Tatdn2	3292	6626
Cracr2a	8781	161
Spef1l	1228	25
Zbtb2	3351	1230
Adgrg5	2820	170
Foxr1	1666	0
Cpxcr1	1596	0
Bclaf3	4215	843
Odf3l2	1248	4
Atxn7l3b	3599	7315
Tmed8	7179	1530
Gm1322	1966	0
