Geneid	Length	genome_mapping/Low.6694c2.rep3.RNAseq.mm10.sorted.bam
Pdxk-ps	2342	15
A930003O13Rik	1951	2
Gm48957	7122	28
Gm17769	2564	48
Gm3219	604	191
1700096K18Rik	1449	359
A230072C01Rik	2201	130
AA543186	1696	58
Gm17801	1405	4
Gm8580	611	4
Tspy-ps	321	0
Mug-ps1	4683	130
Gm4489	520	0
4932435O22Rik	3402	0
Oaz1-ps	962	0
Gm8883	1019	140
Gm5166	890	0
Gm11961	1562	0
Tbrg3	7979	10
Map2k3os	1267	260
Gm1141	2148	26
D6Ertd474e	2761	0
A430093F15Rik	2115	10
1110006O24Rik	768	161
Zp4-ps	832	0
1500011B03Rik	1739	882
Snhg16	1997	1571
Gm13749	1432	4
4930470P17Rik	1395	0
Pantr1	546	0
Rnf227	1746	281
Gm10638	1362	39
2810002D19Rik	1482	318
D630029K05Rik	2382	0
Pmis2	699	4
2900005J15Rik	2033	93
Nlrp1c-ps	3457	43
Gm9199	1288	6
1700054K19Rik	451	0
5730408K05Rik	384	33
Cts8-ps	4221	0
4930515G01Rik	1251	55
0610040B10Rik	440	62
4930583K01Rik	883	5
6530411M01Rik	1219	0
1700096J18Rik	454	1
Vaultrc5	345	10
A930013F10Rik	2426	334
5031426D15Rik	6021	4
2900092D14Rik	2841	2
BB123696	2308	4
Hoxd3os1	794	0
Snhg9	183	39
2900060B14Rik	597	27
G630025P09Rik	2370	20
1700120K04Rik	543	20
Bambi-ps1	1215	50
Msx1os	2188	6
C630043F03Rik	2687	188
2010204K13Rik	946	315
4930507D05Rik	2194	29
1110020A21Rik	1220	30
4931440P22Rik	1859	123
1700052K11Rik	2413	384
Ppp4r1l-ps	4466	1035
D930048N14Rik	3429	724
B830017H08Rik	1119	0
9130230L23Rik	1454	44
Zfp783	4415	176
Gm10416	642	4
Zbtb11os1	1350	144
4930429B21Rik	1950	32
1700020N01Rik	1061	0
Zfp85os	2908	19
Hnf4aos	843	8
Atad3aos	1162	33
5730522E02Rik	1520	0
3110070M22Rik	1128	28
Sox1ot	5067	0
4930465K10Rik	1262	3
1700001L05Rik	6003	451
1810064F22Rik	2302	104
2810025M15Rik	1194	1134
4632415L05Rik	4114	1977
4930474M22Rik	613	10
C030016D13Rik	2595	24
4930433N12Rik	1382	0
Gm9871	1560	0
Gm3414	7912	155
Ppifos	1777	150
Gm4566	532	1
Gm9767	1193	0
Gm8615	2065	87
Gm4926	1620	0
Snora21	128	19
Snora3	120	48
Snord72	60	71
Gm12191	478	0
Kcnmb4os1	753	0
0610039K10Rik	951	25
2310001K24Rik	459	0
1600029I14Rik	864	0
2310068J16Rik	1121	53
0610038B21Rik	1523	25
6330407A03Rik	1843	0
Snord68	48	50
AF357399	94	35
4932414J04Rik	3061	0
Rian	3579	1897
Rmst	2687	2
B130006D01Rik	3188	12
Dleu2	1694	413
Mirg	1299	56
BC037032	4622	20
Phxr4	1380	32
Snord14a	22	0
Snord14d	23	0
Snord14c	87	273
Gm8801	1867	15
Snord43	48	22
Snord83b	77	83
Mcpt-ps1	793	34
2210417A02Rik	550	98
1700026D11Rik	847	0
2610306M01Rik	1034	366
1700084E18Rik	434	47
Dubr	1815	688
C4bp-ps1	754	8
Tmem181c-ps	4045	92
Gm6524	1533	2
4930503E24Rik	1333	0
Gm4371	1610	0
8430429K09Rik	2583	227
AU015836	3000	0
Appbp2os	640	37
5830417I10Rik	9833	2623
1700018L02Rik	1247	43
Snord7	96	0
AA465934	382	58
AI450353	1500	125
4930404I05Rik	978	92
A930004D18Rik	3643	750
Gm17762	3329	136
Ftx	7491	1182
B230319C09Rik	1689	41
4930528A17Rik	2122	36
Gm10190	1700	6
BB031773	3655	0
Marcksl1-ps4	1043	158
D630041G03Rik	3640	11
Gm7854	1432	0
D430020J02Rik	2892	773
C130080G10Rik	1906	43
A530058N18Rik	1550	0
Gm2176	1734	6
D7Ertd143e	2232	20
Gm5129	603	24
Mirt1	5292	1010
2610005L07Rik	4009	1123
Thap6	3673	911
BC052688	1622	0
AF357355	71	0
AF357359	30	35
9230102K24Rik	1303	4
Vmn2r-ps60	265	0
9330020H09Rik	3428	189
F930015N05Rik	3540	0
Snora35	119	0
Snora75	116	28
Snora20	61	16
Gm12238	124	8
Snora31	112	238
Gm13315	1981	12
Snora78	157	30
Scarna10	71	22
Scarna3a	118	1
Scarna6	248	19
Gm10451	893	12
Snord11	63	2
Snord13	98	1
Snord19	54	98
Snord38a	59	1
Snord45c	61	0
Snord49b	63	75
Snord52	59	215
Snord57	63	45
Snord64	46	0
Snord66	58	8
Snord69	59	91
Snord71	64	18
Snord88a	72	19
Snord88c	84	30
Snord90	68	0
Snord93	45	7
Snord99	56	40
Scarna2	61	17
Snord23	99	1
Snord12	66	189
Snord65	57	101
Snord8	99	24
Snord47	65	180
Scarna3b	124	0
Scarna8	118	6
Snora7a	129	143
Snord110	59	5
Snord16a	91	69
Snord37	53	51
Snord49a	62	53
Snord53	68	25
Snord58b	54	0
Snord67	98	0
Snord70	53	6
Snord89	94	15
Snord92	83	5
Snord98	28	12
Snora41	113	49
Snord111	64	4
Scarna17	62	15
Snord45b	45	36
Snord91a	60	0
Snord96a	77	220
Snord95	68	22
Snord85	65	3
Snord118	137	13
Snord1b	77	15
Scarna9	42	4
Snord1c	78	12
Snord1a	76	0
Snora17	132	114
Snora43	139	69
Snora24	130	0
Snhg8	785	3747
Snord123	88	1
Scarna13	275	22
D030025P21Rik	3954	147
Gm10584	2628	20
Gm10649	1985	6
Gm10825	4548	0
Gm11978	1306	0
Morrbid	4490	4762
Gm10069	4598	89
5330413P13Rik	3631	0
Mir17hg	2339	756
Otx2os1	743	0
Snora16a	136	80
Gsdmcl-ps	1930	0
Stmn1-rs1	979	4
1500015A07Rik	1864	545
1700003G18Rik	620	0
1700028J19Rik	1187	32
4933406I18Rik	1650	19
1700018A04Rik	714	118
2010320M18Rik	745	744
2810454H06Rik	2825	97
4933407K13Rik	3376	514
4930579K19Rik	1152	33
4930584F24Rik	1188	0
6230400D17Rik	1088	87
E130317F20Rik	3595	167
C530005A16Rik	2436	88
Stk35os1	3091	371
Mccc1os	4451	15
G530011O06Rik	4794	117
A530088E08Rik	1795	2
6530402F18Rik	4292	148
9430083A17Rik	2990	125
5033406O09Rik	1729	595
Gm11149	1275	8
Snhg12	606	1788
D4Ertd617e	805	3
Gm10863	680	2
Rps15a-ps6	824	116
Flicr	3456	40
B430319G15Rik	4069	160
4930581F22Rik	2402	380
Mirlet7g	88	0
Mirlet7i	85	1
Mir1a-1	77	2
Mir15b	64	0
Mir23b	74	0
Mir27b	73	0
Mir29b-1	71	0
Mir30a	71	0
Mir30b	96	0
Mir99a	65	4
Mir99b	70	4
Mir101a	83	0
Mir124a-3	68	0
Mir125a	68	12
Mir125b-2	71	0
Mir126a	73	0
Mir127	70	0
Mir128-1	70	0
Mir130a	64	0
Mir9-2	72	0
Mir132	66	2
Mir133a-1	68	6
Mir134	71	1
Mir135a-1	90	0
Mir136	62	0
Mir137	73	0
Mir138-2	71	0
Mir140	70	1
Mir141	72	0
Mir142	64	0
Mir144	66	0
Mir145a	70	2
Mir146	65	0
Mir149	66	0
Mir150	65	0
Mir151	68	0
Mir152	73	0
Mir153	69	0
Mir154	66	0
Mir155	65	0
Mir10b	68	0
Mir129-1	73	0
Mir181a-2	76	0
Mir182	75	0
Mir184	69	0
Mir185	65	1
Mir186	71	20
Mir187	61	0
Mir188	68	0
Mir24-1	68	0
Mir190a	67	0
Mir191	74	5
Mir193a	66	0
Mir194-1	67	6
Mir195a	94	0
Mir199a-1	70	4
Mir200b	70	0
Mir201	66	0
Mir202	72	1
Mir203	76	0
Mir204	68	0
Mir205	68	0
Mir206	73	0
Mir207	79	1
Mir122	66	0
Mir143	63	4
Mir30e	92	0
Mir290a	83	0
Mir291a	82	0
Mir292	82	0
Mir293	80	0
Mir294	84	0
Mir295	69	0
Mir296	79	4
Mir297-1	49	0
Mir297a-2	90	0
Mir298	82	0
Mir299a	63	0
Mir300	79	0
Mir301	86	1
Mir302a	69	0
Mir34c	77	0
Mir34b	84	0
Mirlet7d	103	10
Mir106a	65	0
Mir106b	82	0
Mir130b	82	0
Mir19b-2	84	0
Mir30c-1	89	0
Mir30c-2	84	0
Mir30d	82	0
Mir148a	99	0
Mir192	89	6
Mir196a-1	102	0
Mir196a-2	85	0
Mir200a	90	0
Mir208a	83	2
Mirlet7a-1	94	1
Mirlet7a-2	96	0
Mirlet7b	85	0
Mirlet7c-1	94	0
Mirlet7c-2	95	0
Mirlet7e	93	4
Mirlet7f-1	89	2
Mirlet7f-2	83	0
Mir15a	84	2
Mir16-1	93	4
Mir16-2	95	0
Mir18	96	10
Mir20a	107	6
Mir21a	92	0
Mir22	95	0
Mir23a	75	5
Mir24-2	107	99
Mir26a-1	90	0
Mir26b	85	6
Mir29a	88	0
Mir29c	88	0
Mir27a	87	14
Mir31	106	0
Mir92-2	91	0
Mir93	88	2
Mir96	106	0
Mir34a	102	0
Mir129-2	90	0
Mir98	108	0
Mir103-1	86	2
Mir103-2	86	0
Mir322	95	0
Mir323	86	0
Mir324	89	6
Mir325	98	0
Mir326	95	0
Mir328	97	0
Mir329	97	0
Mir330	98	10
Mir331	96	0
Mir337	97	0
Mir148b	97	0
Mir338	98	0
Mir339	96	1
Mir340	98	0
Mir341	96	1
Mir342	99	0
Mir344	95	0
Mir345	96	4
Mir346	98	0
Mir350	99	0
Mir351	99	0
Mir135b	97	0
Mir101b	97	0
Mir1a-2	72	0
Mir107	87	0
Mir10a	110	0
Mir17	84	0
Mir19a	82	4
Mir25	84	19
Mir28a	22	0
Mir32	70	2
Mir100	80	0
Mir139	68	0
Mir200c	69	0
Mir210	110	5
Mir212	91	2
Mir181a-1	87	0
Mir214	110	0
Mir216a	72	0
Mir218-1	110	2
Mir218-2	110	0
Mir219a-1	110	7
Mir223	110	0
Mir320	82	1
Mir26a-2	84	4
Mir33	69	0
Mir211	106	0
Mir221	95	14
Mir222	79	0
Mir224	82	0
Mir29b-2	81	0
Mir199a-2	110	0
Mir199b	110	0
Mir135a-2	100	0
Mir124a-1	85	0
Mir124a-2	109	0
Mir19b-1	87	0
Mir92-1	80	0
Mir9-1	89	0
Mir9-3	90	0
Mir138-1	99	0
Mir181b-1	80	0
Mir181c	89	2
Mir125b-1	77	2
Mir128-2	76	0
Mir7-1	108	61
Mir7-2	97	0
Mir7b	111	0
Mir217	108	0
Mir194-2	86	0
Mir219a-2	97	0
Mir361	70	0
Mir362	64	0
Mir363	75	0
Mir365-1	87	0
Mir375	64	0
Mir376a	68	0
Mir377	68	0
Mir378a	66	0
Mir379	66	0
Mir380	61	0
Mir381	75	0
Mir382	76	0
Mir383	70	0
Mir335	98	0
Mir133a-2	104	0
Mir133b	119	0
Mir181b-2	86	0
Mir215	111	10
Mir384	88	0
Mir196b	85	0
Mir409	79	0
Mir410	81	0
Mir376b	82	0
Mir411	82	0
Mir412	80	0
Mir370	79	0
Mir425	85	18
Mir431	91	0
Mir433	124	0
Mir434	94	0
Mir448	112	0
Mir429	83	0
Mir365-2	112	0
Mir449a	91	0
Mir450-1	91	0
Mir451a	72	0
Mir452	85	1
Mir463	75	0
Mir465	74	0
Mir466	73	0
Mir468	78	0
Mir470	75	0
Mir471	67	0
Mir532	96	0
Mir489	107	0
Mir483	73	0
Mir484	67	2
Mir485	73	0
Mir486	128	0
Mir546	121	0
Mir540	67	0
Mir543	76	0
Mir539	74	0
Mir541	90	0
Mir542	85	0
Mir547	78	0
Mir367	75	0
Mir494	85	0
Mir376c	85	0
Mir487b	82	0
Mir369	79	0
Mir20b	80	0
Mir450-2	69	0
Mir503	71	0
Mir291b	79	0
Mir302b	74	0
Mir302c	68	0
Mir302d	66	0
Mir301b	97	0
Mir675	84	0
Mir744	100	0
Mir374b	95	0
Mir216b	86	0
Mir592	96	0
Mir758	81	0
Mir551b	98	0
Mir671	98	0
Mir668	66	0
Mir665	94	0
Mir667	92	0
Mir770	94	0
Mir762	76	0
Mir802	97	0
Mir672	100	0
Mir670	100	0
Mir761	76	0
Mir764	108	0
Mir763	120	17
Mir666	99	0
Mir759	98	0
Mir496a	79	0
Mir673	91	0
Mir760	119	3
Mir674	100	0
Mir488	109	0
Mir677	78	11
Mir678	84	0
Mir497	84	0
Mir679	74	0
Mir495	63	0
Mir680-1	109	0
Mir680-2	110	0
Mir680-3	87	0
Mir681	110	0
Mir682	96	527
Mir449c	109	0
Mir683-1	109	0
Mir684-1	85	1
Mir684-2	86	0
Mir686	109	0
Mir719	110	0
Mir687	89	0
Mir688	75	2
Mir690	109	0
Mir691	78	0
Mir692-1	109	3
Mir693	89	0
Mir694	70	4
Mir146b	109	0
Mir669b	97	0
Mir669a-2	95	0
Mir669a-3	109	0
Mir467b	73	0
Mir669c	35	0
Mir297b	109	0
Mir695	109	0
Mir455	82	0
Mir491	86	0
Mir697	109	8
Mir698	109	0
Mir700	79	2
Mir701	109	0
Mir702	109	0
Mir703	109	383
Mir704	77	3
Mir705	82	0
Mir706	84	0
Mir707	73	0
Mir708	109	0
Mir709	88	5
Mir710	110	0
Mir711	82	0
Mir713	108	0
Mir500	92	0
Mir501	109	0
Mir717	109	0
Mir450b	82	0
Mir505	90	0
Mir721	88	0
Mir652	98	0
Mir490	84	0
Mir676	89	0
Mir615	92	0
Mir804	95	0
Mir741	71	0
Mir742	65	0
Mir743	62	0
Mir181d	72	0
Mir743b	77	0
Mir871	77	0
Mir879	76	0
Mir880	78	0
Mir881	78	0
Mir882	77	0
Mir883a	76	0
Mir883b	78	0
Mir190b	80	0
Mir874	76	0
Mir876	81	0
Mir105	80	0
Mir147	79	0
Mir18b	83	0
Mir193b	79	0
Mir297a-3	99	0
Mir297a-4	87	0
Mir297c	75	0
Mir327	69	0
Mir344-2	80	0
Mir421	76	1
Mir453	82	3
Mir465b-1	79	0
Mir465b-2	79	0
Mir465c-1	81	0
Mir465c-2	81	0
Mir466b-2	82	0
Mir466b-3	81	0
Mir466f-1	63	0
Mir466f-2	85	0
Mir466f-3	77	0
Mir466g	80	0
Mir466h	41	0
Mir467c	97	0
Mir467d	85	0
Mir493	83	0
Mir504	79	0
Mir509	75	0
Mir568	83	32
Mir574	78	0
Mir654	84	0
Mir92b	83	0
Mir466d	57	0
Mir449b	80	0
Mir878	78	0
Mir872	81	0
Mir873a	77	0
Mir875	78	0
Mir208b	77	1
Mir877	85	0
Mir511	79	0
Mir544	78	0
Mir598	79	0
Mir653	85	0
Mir582	80	0
Mir467e	55	0
Mir683-2	109	0
1700034H15Rik	4362	15
Gm15760	3445	198
AW011738	2745	152
Gm4532	713	157
D730005E14Rik	3607	524
Phtf1os	3781	34
BC025920	1890	169
AA387883	1679	0
Mnd1-ps	2774	4
Gm4598	1080	0
2810410L24Rik	1707	401
Gm14207	979	57
Gm6402	1356	111
4930539J05Rik	499	21
E330033B04Rik	6712	186
A930011G23Rik	3354	0
4930412C18Rik	3969	21
1110002L01Rik	3300	400
B330016D10Rik	2152	262
9930014A18Rik	5130	334
A630066F11Rik	1253	78
A630072M18Rik	5410	371
4831440E17Rik	4677	151
Gm20554	5099	43
Snord4a	70	46
Snord104	73	167
Snord55	78	136
Snord2	68	101
Cdr1os	869	0
Vmn1r-ps79	2293	0
6820431F20Rik	4659	619
Gm16386	4221	126
Mir22hg	1766	1820
3110099E03Rik	2644	0
Mir183	70	0
3930402G23Rik	3084	57
F630028O10Rik	2777	113
Gm8979	3418	0
Gm8989	2133	0
Foxd2os	2908	237
Gm3434	416	0
Gm3428	521	0
1700086L19Rik	1046	6
2410006H16Rik	461	7182
Mir423	109	3
Mir499	79	0
Mir718	88	0
Mir343	75	4
Snord17	221	76
Smok4a	2318	25
Nkx2-2os	4345	0
Gm13034	1195	2
3110021A11Rik	824	41
Snora26	121	0
Gm3020	848	0
Klk1b7-ps	448	0
Gm10409	1990	0
4933409K07Rik	4551	7
Gm833	1291	0
Mexis	2277	70
Gm6994	1163	0
Gm20605	4513	328
Snora28	121	221
Ppp1r2-ps9	904	0
Gm839	753	0
4933427E11Rik	1214	10
2700046G09Rik	1641	136
1700001G17Rik	889	43
2010016I18Rik	1558	42
Gm4792	773	0
1700111N16Rik	1132	3
B430212C06Rik	2623	100
3000002C10Rik	1278	170
1700069L16Rik	704	0
BC039771	2084	45
BC031361	4197	151
9330151L19Rik	2546	457
D330050I16Rik	1734	145
Gm13375	1385	575
E030024N20Rik	6361	18
Prr33	2245	190
9530091C08Rik	7977	0
Gm5627	931	1
Slc22a13b	1455	42
AA388235	3867	44
4930592I03Rik	987	8
BC065397	3226	129
Gm5089	2541	3
Gm12216	1152	38
Snora23	184	18
B930059L03Rik	1306	52
Gm3002	5215	0
LOC668415	2200	7
Gm2694	797	2
Krt74	1589	1
4931428L18Rik	1094	0
2810405F15Rik	1549	32
1700025C18Rik	702	0
Serpina3h	2051	192
Klra13-ps	815	0
Gm4013	416	108
9130209A04Rik	676	0
Gm5095	1523	0
Gm10536	4259	0
Gm4710	1178	0
Gm6225	1700	36
Gm10512	1170	0
Zfp133-ps	1079	39
Gm9999	567	15
Gm10494	2582	0
4930429F11Rik	1616	0
Gm11468	383	0
AU019990	2494	6
Gm10857	2796	2
Gm10768	2043	396
Platr8	1349	5
2810433D01Rik	1334	6
Gm10823	815	0
Gm10789	4591	0
Fmr1os	2743	12
Gm6938	771	0
U90926	522	0
Gm10046	632	0
Gm17830	1829	0
Mir124-2hg	1363	0
Gm10466	2466	0
4931406H21Rik	3858	59
Tnk2os	1392	21
Gm13629	1347	0
Mhrt	828	8
AI504432	5544	158
Gm7271	817	0
C030023E24Rik	2872	0
E530011L22Rik	3304	96
Gm9962	1417	0
Gm14164	1997	0
Gm3893	3554	0
Olfr1077-ps1	579	0
Gm11110	1026	245
Gm9961	540	0
Hectd2os	2662	2
Gm10510	723	0
Gm6194	1712	12
Gm6793	1458	0
2310015A10Rik	4845	1190
Cyp2d37-ps	671	51
2410017I17Rik	1511	0
Tmem181b-ps	4710	742
1600029O15Rik	1809	4
Gm11517	683	48
Gm11529	2063	0
Gm16523	4750	9
Gm7444	3938	4
B230206H07Rik	2935	46
Wincr1	718	2053
Olfr1300-ps1	2235	0
Gm10845	3389	1
Gm10516	2612	146
Gm10754	1633	0
Gm10421	842	0
Gm12298	820	0
F630042J09Rik	3164	2
Gm10389	3468	32
Gm10636	2419	6
Gm16287	2322	10
Gm14812	1794	2
Gm10790	1696	1
Gm15348	3655	0
Gm10684	2203	3
D030047H15Rik	2536	11
Gm11190	3414	0
Gm10248	2730	0
Gm12359	1401	79
Gm10125	1509	16
1700048O20Rik	1848	9
D330041H03Rik	1484	98
Gm10400	3835	0
A630010A05Rik	1622	0
F930017D23Rik	1832	0
AY512915	3653	0
Arhgap20os	1484	2
Rbm3os	840	38
Gm1995	4341	0
Gpx2-ps1	1018	14
Gm16897	2491	19
BB019430	1320	0
AI507597	864	30
E130304I02Rik	696	19
9430041J12Rik	2312	0
9430021M05Rik	2148	0
Gm7104	4204	0
1810062O18Rik	751	21
4930512B01Rik	1421	8
Cyp4b1-ps2	564	0
4933401B06Rik	1219	0
Adh6-ps1	2789	4
Gm11426	2220	0
Spn-ps	809	0
Gm10280	2005	0
Cyp4f41-ps	1114	14
AY512931	2395	9
Hmgb1-rs17	1447	4
Gm8096	1660	0
Gm6300	2217	0
4933417G07Rik	961	1
4930529C04Rik	3531	0
Pou5f1-rs4	1040	0
Gm13498	2163	14
5730416F02Rik	812	4
Gm7134	2404	0
4930503H13Rik	635	0
5033404E19Rik	709	0
Gm5779	907	7
Gm5176	558	13
Gm4971	1072	0
1700028B04Rik	552	0
4921533I20Rik	1000	0
1700084J12Rik	731	0
A930017M01Rik	3350	2
Gm12633	1690	0
Gm12669	1011	0
Gm13238	774	4
1700001J11Rik	2468	0
Cyp2c53-ps	1443	0
Pldi	853	8
Gm12830	2308	0
1700128F08Rik	1110	0
Gm6623	2588	1
Olfr947-ps1	2177	0
Olfr856-ps1	1642	1
Gm6607	552	16
5031434O11Rik	2310	183
D5Ertd605e	1062	46
AA619741	2676	0
BC021767	2228	311
Gm5177	3785	2
4632428C04Rik	2428	64
A630075F10Rik	2106	0
Gm8709	1206	0
9130019P16Rik	4486	23
1700049E15Rik	921	31
Gm4349	1119	2
Olfr29-ps1	963	0
Rps19-ps3	426	75
E330012B07Rik	2361	0
Crnde	1500	874
Gm3230	2092	37
Gm6642	577	0
Fut4-ps1	2495	0
Mageb16-ps1	3482	0
Vmn2r-ps129	1689	0
Kif4-ps	3665	0
Trim30e-ps1	1890	0
Gm7550	591	0
Gm4541	495	0
Zscan4a	2257	0
Ces2d-ps	1963	2
Fbxl12os	2355	155
Ppp1r2-ps7	1948	0
E330020D12Rik	2827	8
AA545190	1035	0
Snord116l1	90	0
Snord116l2	90	0
2810001G20Rik	901	245
4921531C22Rik	1905	456
4933429O19Rik	1629	0
1700041C23Rik	397	0
1700044K03Rik	378	0
1700052I22Rik	377	0
1700109G14Rik	798	0
5430416N02Rik	626	1455
Snora5c	101	38
Snora47	126	15
Snora36b	113	0
Snora30	107	15
Snora61	62	104
Snora19	56	0
Snora81	164	153
Snora52	134	46
Snora44	117	81
Snora34	118	14
Snora2b	112	20
Olfr1372-ps1	1768	1239
Mir467a-1	73	0
Mir1224	85	0
Mir669a-1	97	0
Mir692-3	109	0
Mir669k	127	0
Mir669g	123	0
Mir466i	121	11
Mir1b	122	0
Mir1187	122	0
Mir669j	121	0
Mir669i	127	0
Mir669h	125	0
Mir1188	120	0
Mir467f	120	4
Mir1190	96	0
Mir1191	120	30
Mir1192	121	5
Mir1193	121	0
Mir669e	119	0
Mir1195	98	0
Mir1197	120	0
Mir1198	121	5
Mir1199	119	0
Mir1902	80	0
Mir1897	79	0
Mir1905	82	0
Mir1895	79	0
Mir1903	80	0
Mir1899	96	0
Mir1900	78	0
Mir1892	80	0
Mir1906-1	80	0
Mir1896	81	0
Mir1904	80	0
Mir1898	83	33
Mir1907	90	0
Mir1894	81	13
Mir1893	83	0
Mir1901	78	0
Mir1927	109	0
Mir1928	67	0
Mir1929	93	2
Mir1930	84	4
Mir1931	119	5
Mir1932	90	1
Mir1933	88	0
Mir1934	83	2
Mir1936	93	6
Mir1938	100	38
Mir1941	83	1
Mir1942	63	1
Mir1943	73	9
Mir1945	78	8
Mir1306	79	0
Mir1946a	134	0
Mir1947	85	7
Mir1948	85	0
Mir1949	70	21
Mir1950	74	7
Mir669m-1	98	0
Mir669m-2	98	0
Mir1951	89	0
Mir1952	79	0
Mir1953	89	1
Mir1954	86	0
Mir1955	98	1
Mir1956	65	8
Mir1958	97	0
Mir1960	78	0
Mir1961	112	0
Mir1962	121	0
Mir1963	59	0
Mir1964	83	4
Mir1966	108	1
Mir1967	82	2
Mir1968	68	0
Mir1969	94	2
Mir1946b	133	4
Mir1970	104	1
Mir1971	106	0
Mir1983	132	1
Mir1839	73	21
Mir1981	82	0
Mir1982	74	0
Mir2136	75	0
Mir2137	66	0
Mir2139	95	0
Mir432	75	0
Mir599	88	0
Mir767	107	0
Mir664	69	2
Gm5084	3604	0
Gm14403	3712	229
Gm4814	907	0
E230016K23Rik	2221	38
A730020M07Rik	2759	54
A730018C14Rik	1752	0
Trp53cor1	3121	54
Rps15a-ps4	697	72
1600027J07Rik	489	0
1700001K23Rik	488	3
1700028M03Rik	468	0
1700121N20Rik	1028	0
2810049E08Rik	1102	0
4930520P13Rik	505	0
6030440G07Rik	1093	4
4933421O10Rik	3850	413
1700060C20Rik	590	4
Gm3086	628	55
Arhgap33os	2648	0
Zim3	3224	0
Gm6525	556	14
Gm41	531	0
Gm8579	733	0
Gm9696	3050	0
Tdg-ps2	2898	0
Mir1247	82	8
Mir1264	86	0
Mir1249	98	7
Mir1843a	65	0
Mir3475	65	0
Mir344d-3	80	0
Mir1298	98	0
Mir3059	81	0
Mir3058	91	9
Mir3099	84	0
Mir3106	82	0
Mir344d-1	69	0
Mir344d-2	80	0
Mir2861	82	64
Mir3057	91	2
Mir1251	84	0
Mir3060	83	9
Mir3061	91	33
Mir3062	105	0
Mir3063	92	0
Mir3064	67	305
Mir3065	87	0
Mir3066	83	0
Mir3067	84	0
Mir3068	79	8
Mir3069	65	0
Mir3070a	89	0
Mir3070b	89	0
Mir3071	80	0
Mir3072	83	1
Mir3073a	85	0
Mir3074-1	85	0
Mir3075	85	0
Mir3076	60	1
Mir3077	64	1
Mir3078	87	0
Mir3079	90	11
Mir3080	79	0
Mir3081	84	0
Mir3082	64	0
Mir3083	64	0
Mir3084-1	68	0
Mir3085	89	0
Mir3086	87	0
Mir466o	59	0
Mir467a-2	83	0
Mir669a-4	60	0
Mir669a-5	60	0
Mir467a-3	83	0
Mir669a-6	60	0
Mir467a-4	83	0
Mir669a-7	60	0
Mir467a-5	83	0
Mir669p-1	62	0
Mir467a-6	83	0
Mir669a-8	60	0
Mir669a-9	60	0
Mir467a-7	82	0
Mir669p-2	62	0
Mir467a-8	82	0
Mir669a-10	60	0
Mir467a-9	82	0
Mir669a-11	60	0
Mir467a-10	83	0
Mir669a-12	60	0
Mir466n	94	0
Mir3087	56	0
Mir3088	74	0
Mir3089	84	2
Mir3090	87	0
Mir3091	76	0
Mir3092	96	13
Mir3093	87	0
Mir3094	64	0
Mir3095	87	0
Mir3097	67	1
Mir3098	87	19
Mir3100	65	2
Mir3101	88	38
Mir344e	66	0
Mir344b	63	0
Mir344c	92	0
Mir344g	71	0
Mir344f	68	0
Mir3102	104	1
Mir3103	67	0
Mir3104	63	0
Mir3105	85	0
Mir3107	90	0
Mir3074-2	83	0
Mir3108	79	0
Mir3109	88	24
Mir3110	80	0
Mir374c	49	0
Mir3112	82	0
Mir1912	87	0
Mir3470a	38	11
Mir3470b	126	0
Mir3471-1	131	0
Mir3471-2	102	0
Mir3472	71	0
Mir3473a	82	2
Mir3474	58	1
Mir1906-2	80	0
Chaserr	5143	3375
Gm7056	3093	0
Cahm	1223	173
Rdh18-ps	3648	4
Gm16861	1531	70
5330439B14Rik	1392	0
Snora33	105	50
Snord100	67	72
Snord42a	45	44
Snord42b	55	37
Gm1968	982	10
Stk-ps2	3483	2
4933407L21Rik	1148	2
2700046A07Rik	2133	0
1500009C09Rik	1723	779
Atp6v0c-ps2	1118	0
Zfa-ps	3420	0
Lppos	854	261
Lockd	607	665
1300002E11Rik	3959	420
1600010M07Rik	616	16
1600020E01Rik	681	650
2410004I01Rik	954	2
2610507I01Rik	2905	294
Gm6644	1352	0
Gm19589	2622	591
BB014433	1760	3
Gm20597	5486	0
Gm5105	1665	3
Gm15179	676	0
Gm53	617	0
E030025P04Rik	1078	0
Platr26	641	17
Gm16894	858	2
Gm15217	674	7
9330159M07Rik	2818	74
Gm19461	3112	44
Platr22	1199	38
Gm16548	1241	10
Gm16701	936	25
Gm20268	886	0
BC055402	3304	0
Gm2762	2339	0
B230216N24Rik	1178	22
2310043L19Rik	698	0
Plekhd1os	939	0
Hmga2-ps1	1510	2577
2310015D24Rik	3047	4
D030040B21Rik	2788	1
4930558J18Rik	2052	44
4921513I03Rik	1747	4
1700027A15Rik	571	0
4931429P17Rik	2012	0
4933413J09Rik	3387	59
9630028B13Rik	3406	3
9330162B11Rik	2212	0
Celrr	1580	1
2810408I11Rik	713	126
5530401A14Rik	1838	0
C730036E19Rik	2640	2
Gm17751	2188	0
Gm17745	876	4
Gm19395	658	6
Gm16998	1230	24
Gm15915	908	11
Gm18409	2506	0
Gm20110	2095	1
Gm20125	3401	4
Gm20139	6220	3
Gm15910	2973	3
4930486F22Rik	563	0
4933412E12Rik	1724	113
B230208H11Rik	1182	195
1700061I17Rik	1962	219
4930562F07Rik	887	19
Gm15663	3204	22
4930444F02Rik	4202	0
Gm6150	2980	8
