Geneid	Length	genome_mapping/Low.6694c2.rep3.RNAseq.mm10.sorted.bam
Tmem231	3000	317
Gucy1a2	13723	14
Zbtb16	7782	1070
Pate14	619	6
Dhrsx	1926	2629
Tmem185a	2513	3205
Arhgef9	5527	224
Frmpd4	9714	0
Gas2l3	6748	1494
Tmtc3	6630	2697
Myrfl	3114	0
Syndig1l	2499	0
Serpina3f	2290	41
Abcc4	5895	12465
Ttc38	3751	1169
Rimbp3	5848	37
Mmp25	3655	52
Lrrc30	1759	4
Zfp407	7908	2934
Cdc42bpg	5994	7901
Sec31b	3923	180
Dusp27	4025	117
Lrrc55	5912	95
D430041D05Rik	10402	2
Ralgapa2	9610	10035
Ankub1	1759	0
Bank1	3267	88
Grin3a	7711	37
Klhl21	3895	10038
Iqsec3	7795	10
Zfp568	7183	4982
Ntn5	2216	24
Cntn5	4270	25
Gpr101	5410	0
Pgr15l	5379	0
Gm614	777	2
Cdhr2	4127	1561
Mroh5	2350	0
Mucl3	2608	1917
Nlrc4	3838	1948
Acvr1c	9049	13
Lrrc36	2498	1
Gm648	1040	0
Cdk15	1605	26
Srarp	905	4
Washc4	5858	2975
Dcp1b	3311	455
Itpripl2	6864	48489
Cacna2d4	5949	8
Zfp865	3958	4158
Tbc1d32	7239	544
Fubp3	3821	12002
Ipcef1	8804	52
Tmem104	4566	2206
Tmem88b	3471	50
Krt26	2600	0
Gfod1	6654	7016
Nutm2	2548	0
Ftdc1	702	0
Treml2	4509	134
Gm815	618	0
Rbm44	3851	2
Lgr6	3623	9041
Rnf224	2021	2
Gm826	1097	0
Gm829	1090	0
Shisa3	3754	2
Bsph1	823	0
Ceacam16	1635	405
Dock1	6815	10428
Pate2	2215	12
Thoc2	7619	4393
Gm773	951	0
Fnd3c2	3658	4
Zscan10	2735	4
Grxcr2	1998	0
Lyg2	2564	0
Tmem211	1827	0
Trim75	2504	4
Kdm7a	9553	4438
Nlrp12	4329	198
Heca	3667	3372
Tmem102	1941	0
Gm884	4576	0
Milr1	2474	233
Atxn7l1	6485	2204
Lsmem1	1213	46
Gm906	3152	0
Lrch1	4707	4715
Alg10b	3727	9959
Gm1604b	781	0
Cdkl4	3341	18
Capn13	2614	8
Garem1	4783	2002
Arl14epl	2247	4
Gm960	2262	79
Ap5b1	3142	796
Tmem237	2135	2424
Ifi211	1789	1012
Zfp408	3742	2734
Accsl	2687	4
Pdp1	4398	3736
Ccdc27	2084	3
Nom1	3693	5710
Gm1673	552	22
Drc1	2466	216
Lrrc43	2046	3
Tatdn2	3292	11536
Cracr2a	8781	174
Spef1l	1228	50
Zbtb2	3351	2559
Adgrg5	2820	143
Foxr1	1666	0
