Geneid	Length	genome_mapping/High_6556c4.rep7.RNAseq.mm10.sorted.bam
Btbd3	5111	1798
Crebbp	7507	2617
BC053393	2043	0
Camk2d	8588	5553
Aptx	5747	487
Sox6	9362	180
Pus1	1887	1687
Lhx9	5750	82
Dmbx1	4032	0
Pde1c	12826	372
Prrx1	7448	1379
Sh2d2a	4758	32
Ankrd12	8991	1341
Slc23a4	2158	33
Bpifb9b	2046	0
Cfhr2	1602	1058
Ccdc141	6329	689
Maf	3642	1213
Kcnc2	6770	16
Dram2	2722	2344
Kcnj6	6959	0
Nr2c2ap	1193	139
Rfxank	3682	521
Zbtb43	5177	1607
Ikzf1	5664	387
Trim26	3235	2398
Cadm1	4629	3652
Il1rl1	7096	76
Gm527	1463	68
Tmem171	1169	645
Gm5168	840	0
Szrd1	3297	4918
Ms4a7	1716	251
Snx22	2585	74
Otud7b	8101	4508
Ccdc50	7048	4413
Cant1	3273	3318
Cdc6	5024	448
Dnm1l	4270	3708
Dnajc19	2771	774
Ensa	2962	4453
Entpd5	5076	2250
Npnt	4800	15646
Pik3cd	5404	748
Pknox2	3550	80
Sla	3135	1144
Slc16a6	4841	544
Vrk1	4133	964
Magi1	9853	3336
Psme2	977	2005
Atad5	7272	474
Ugt2b36	1888	1194
Pdzd4	3972	82
Itgad	3964	24
Unc13a	7960	1178
Urb2	6098	1649
Nova2	8372	131
Lonrf2	6884	30
Usf3	12607	1803
Mex3a	6225	1438
Psg26	2058	0
Ate1	5356	1302
Zswim5	5397	53
Zmynd15	2992	229
Gm5796	1815	0
Zfp114	3111	2
Usp32	6924	1882
Trim38	1480	4
Specc1	10856	3613
Sec14l3	3928	42
Rilp	1487	353
Gm4788	2887	791
Tceal3	1431	8
Safb2	3277	3822
Sec23ip	4577	2154
Man1b1	3742	3759
Fcrlb	1284	145
Kcp	4888	222
Doxl2	2492	0
Fat2	14423	78
Mettl17	1623	879
Zc3h18	3816	4053
Mcat	1893	1056
Ndufs5	509	561
Rdh8	3354	0
Kcnk15	1032	0
Spry3	4346	20
Prr7	1360	98
Tmprss11c	1615	0
Pmp2	1364	2
Dkc1	2978	2006
Abca17	5348	2
Gm16367	2037	0
Nudt10	1751	14
Gsk3a	2259	1544
Lin28b	5403	0
Mrpl41	2423	731
Kcnh8	4287	4
Smg1	15553	7404
Agxt2	2286	463
Bglap2	473	0
Pecam1	3333	2317
Pear1	4713	6154
Sybu	4355	48
Klhdc9	1555	5
Ccdc189	2573	48
Acmsd	2303	131
Lrrc14b	2746	70
Rnf17	5147	8
Cd69	1621	26
Gm14288	428	0
Ntrk1	2588	30
Cd27	1576	23
Bbs1	5597	167
Krtdap	462	0
Commd6	875	460
Rnf149	2434	2930
Rmdn3	2252	1424
Spindoc	3618	1497
Sdhaf1	967	458
Ecscr	1244	657
Rnf166	1875	1886
Dipk2a	3950	1032
1700029J07Rik	2744	95
Ttc9	4778	606
Plekhm2	4163	1896
Dnajb14	1851	733
Fbxo33	3446	887
5730507C01Rik	2542	6
Rasl12	3876	142
Zfp597	5630	501
Tradd	1385	993
Shcbp1l	2045	2
Ephx3	2423	7
2510002D24Rik	1232	926
Dnajc25	1827	671
Selenoh	685	1196
Slc22a23	6287	3239
1700066B19Rik	2504	52
Fam83e	2900	757
Klrg2	2282	467
Rab11fip2	6080	809
Usp31	10387	1169
Osbp	4587	4387
Cln6	2142	735
Slc6a21	1732	0
Krt76	2312	4
Tmem181a	4620	602
Jrkl	2952	428
1700057G04Rik	1052	0
Ccdc190	1443	2
Skap1	2190	5
C77080	5659	8856
Naa11	3364	9
Fam8a1	3717	2423
Gtf3c3	4764	1112
Znfx1	7349	1959
AU015228	2982	0
Clca4b	2997	0
Ncbp1	3111	2972
Usp30	2790	1710
Rpusd3	1277	293
Zfp575	2741	12
Pwwp2b	2640	1395
Nlrc5	6945	487
Myzap	2283	2586
Xylb	3978	1181
Pls1	3697	2835
Ezhip	2203	0
Rprml	1072	0
Ttc7b	3508	685
E330034G19Rik	1587	0
Zfp957	2751	0
Prickle1	4356	657
Slc45a4	7657	1353
AU021092	1372	96
Mpig6b	2382	3
Pdzd8	7076	2725
Lin7a	6835	129
Pnrc1	1925	3608
Calr4	2527	10
Slc5a10	2263	2
Itga1	5982	1559
Cyp11b1	2398	0
Mcrip1	1694	1952
Tmprss11a	2657	0
Gm9	1663	0
Trim40	2197	30
Vcpkmt	1980	494
Yeats2	7344	2431
Cblb	6322	2671
Csta1	2731	0
Wfdc6a	867	0
Gm382	4070	0
Cln5	2447	1199
Fancd2	5515	510
Hk3	3269	267
Ccdc110	4116	1
Cfap44	6583	8
Gm266	1215	2
Zfp583	2765	7
Lemd1	1252	20
Gpr174	5384	10
Gm732	1661	0
Plekhg1	7414	428
Pak6	4193	1135
Gm136	1303	0
Spata5l1	1321	324
Phactr2	9042	658
Arfgef3	8216	5
Mcu	2872	3842
Stox1	3475	4
Zfc3h1	6956	2524
Marchf9	1998	335
Agap2	5634	217
Gls2	2489	1762
Gm525	581	0
Qrich2	2162	2
Fam120a	5151	15433
Eif4e1b	2113	0
Slc4a7	7925	1883
Pip4p1	1608	1593
Spata13	7844	3291
5031439G07Rik	7157	4152
Brd1	5137	3762
Gxylt1	6734	1789
Kmt2d	19827	6950
Spryd3	2437	2694
Ilrun	3812	8592
Gm94	748	0
Prdm6	2601	0
Oosp3	807	0
Cryzl2	1632	321
Cdc42bpa	9451	4030
Slc30a10	5835	138
Sbspon	2748	33
Slc9a2	3493	573
Gpr55	2550	58
Usp40	5316	963
Espnl	5442	8
Uap1l1	1729	3571
Ddx31	3437	635
Sel1l2	2219	0
Smim26	460	244
Kiz	2166	1107
Zfp217	5843	2521
Gmps	4567	3517
Fhdc1	6073	1254
Ciart	1395	395
Ampd1	2342	21
Elapor1	6151	280
Ndufb6	659	1348
Shb	2744	2479
Themis2	2542	356
Cox18	1334	610
Vsig10	4054	803
Fbxl18	2831	788
Pdap1	2139	5126
Ccdc61	2010	706
Hipk4	2414	28
Ffar3	1625	0
Cnga4	2480	2
Cog7	2884	1241
Ppfia1	5259	3198
Tmem231	3000	166
Gucy1a2	13723	85
Zbtb16	7782	2615
Pate14	619	0
Dhrsx	1926	1728
Tmem185a	2513	857
Arhgef9	5527	188
Frmpd4	9714	8
Gas2l3	6748	962
Tmtc3	6630	1405
Myrfl	3114	0
Syndig1l	2499	0
Serpina3f	2290	126
Abcc4	5895	3708
Ttc38	3751	1101
Rimbp3	5848	18
Mmp25	3655	30
Lrrc30	1759	36
Zfp407	7908	947
Cdc42bpg	5994	3644
Sec31b	3923	316
Dusp27	4025	220
Lrrc55	5912	188
D430041D05Rik	10402	0
Ralgapa2	9610	2723
Ankub1	1759	0
Bank1	3267	48
Grin3a	7711	15
Klhl21	3895	2821
Iqsec3	7795	18
Zfp568	7183	1961
