Geneid	Length	genome_mapping/135-P_R1.rn6.sorted.bam
Olr1186	999	0
Olr1179	930	0
Olr1166	939	0
Olr1165	930	0
Olr1163	939	0
Olr1162	930	0
Olr1159	930	0
Olr1158	942	0
Olr1156	939	0
Olr1149	972	0
Olr1148	939	0
Olr1144	939	0
Olr1142	939	0
Olr1135	939	0
Olr1129	963	0
Olr1126	939	0
Olr1125	939	0
Olr1122	939	0
Olr1118	966	0
Olr1117	939	0
Olr1115	939	0
Olr1710	939	0
Olr1705	939	0
Olr1692	969	0
Olr1689	972	0
Olr1682	939	0
Olr1680	1044	0
Olr1679	939	0
Olr1678	939	0
Olr1675	939	0
Olr1670	939	0
Olr1726	930	0
Olr837	948	0
Olr832	933	0
Olr831	933	0
Olr830	963	0
Olr829	984	0
Olr827	984	1
Olr826	984	3
Olr825	984	0
Olr824	984	0
Olr1104	960	0
Olr1565	945	0
Olr1602	978	0
Olr1598	933	0
Olr1597	942	0
Olr1591	951	0
Olr1587	939	5
Olr392	951	0
Olr790	939	0
Olr786	936	0
Olr779	939	0
Olr774	939	0
Olr768	939	0
Olr753	918	0
Olr735	930	0
Olr714	954	0
Olr666	936	0
Olr661	927	0
Olr611	957	0
Olr606	942	0
Olr583	933	0
Olr556	924	0
Olr520	927	0
Olr499	942	0
Olr491	939	0
Olr490	942	0
Olr463	954	0
Olr36	909	0
Olr27	942	0
Olr17	957	0
Olr995	921	0
Olr894	936	0
Olr1077	930	0
Olr1500	939	0
Olr1474	939	0
Olr1472	936	0
Olr1535	930	0
Olr260	933	0
Olr255	966	0
Olr194	951	0
Olr179	939	0
Olr162	960	0
Olr114	945	0
Olr109	954	0
Olr1352	969	0
Olr339	960	0
Olr308	933	0
Olr1456	993	0
Olr1451	915	0
Olr1445	921	0
Olr1305	954	0
Olr1292	912	0
Olr1279	948	0
Olr1260	933	0
Olr1237	930	0
Olr1228	942	0
Olr1219	954	0
Olr1200	936	0
Olr419	948	0
Olr410	939	0
Olr1635	987	0
Olr1625	930	0
Olr1609	981	0
Olr820	963	0
Olr810	933	0
Olr806	954	0
Olr802	942	0
Olr1374	942	0
Olr1370	942	0
Olr1366	945	0
Olr1191	928	0
Olr1185	969	0
Olr1172	996	0
Olr1164	942	0
Olr1160	930	0
Olr1132	969	0
Olr1128	936	0
Olr1119	948	0
Olr828	984	0
Olr823	927	0
Olr1108	936	1
Olr1590	948	0
Olr766	939	0
Olr689	936	0
Olr1073	936	0
Olr264	945	0
Olr161	960	0
Olr46	945	0
