"id","UniqueID","Gene.Name","Protein.ID","GeneType"
337,"RP24-178K6.2","RP24-178K6.2","","protein_coding"
338,"RP24-178K6.3","RP24-178K6.3","","protein_coding"
339,"Adgrb3","Adgrb3","","protein_coding"
340,"AC122187.1","AC122187.1","","protein_coding"
341,"RP23-21P2.4","RP23-21P2.4","","protein_coding"
342,"Gm22260","Gm22260","","protein_coding"
343,"RP23-21P2.3","RP23-21P2.3","","protein_coding"
344,"RP23-21P2.2","RP23-21P2.2","","protein_coding"
345,"RP23-21P2.5","RP23-21P2.5","","protein_coding"
346,"RP23-21P2.6","RP23-21P2.6","","protein_coding"
347,"RP23-21P2.7","RP23-21P2.7","","protein_coding"
348,"RP23-21P2.8","RP23-21P2.8","","protein_coding"
349,"Gm25294","Gm25294","","protein_coding"
350,"RP23-347F2.2","RP23-347F2.2","","protein_coding"
351,"RP23-347F2.3","RP23-347F2.3","","protein_coding"
352,"RP23-347F2.1","RP23-347F2.1","","protein_coding"
353,"RP23-478K4.2","RP23-478K4.2","","protein_coding"
354,"RP23-478K4.1","RP23-478K4.1","","protein_coding"
355,"RP23-478K4.3","RP23-478K4.3","","protein_coding"
356,"RP23-184I13.2","RP23-184I13.2","","protein_coding"
357,"RP23-184I13.3","RP23-184I13.3","","protein_coding"
358,"RP23-184I13.4","RP23-184I13.4","","protein_coding"
359,"RP23-184I13.5","RP23-184I13.5","","protein_coding"
360,"RP23-184I13.6","RP23-184I13.6","","protein_coding"
361,"RP23-184I13.7","RP23-184I13.7","","protein_coding"
362,"RP23-184I13.8","RP23-184I13.8","","protein_coding"
363,"RP23-184I13.1","RP23-184I13.1","","protein_coding"
364,"RP24-228I17.1","RP24-228I17.1","","protein_coding"
365,"RP24-264B17.1","RP24-264B17.1","","protein_coding"
366,"Gm24064","Gm24064","","protein_coding"
367,"RP24-338N17.1","RP24-338N17.1","","protein_coding"
368,"n-R5s209","n-R5s209","","protein_coding"
369,"RP23-76B18.1","RP23-76B18.1","","protein_coding"
370,"RP24-176K12.1","RP24-176K12.1","","protein_coding"
371,"RP24-176K12.2","RP24-176K12.2","","protein_coding"
372,"RP23-12H12.1","RP23-12H12.1","","protein_coding"
373,"RP23-19M20.2","RP23-19M20.2","","protein_coding"
374,"AC122186.1","AC122186.1","","protein_coding"
375,"Gm597","Gm597","","protein_coding"
376,"AC121566.1","AC121566.1","","protein_coding"
377,"RP24-365G17.1","RP24-365G17.1","","protein_coding"
378,"RP24-430C1.1","RP24-430C1.1","","protein_coding"
379,"Gm25586","Gm25586","","protein_coding"
380,"Gm22679","Gm22679","","protein_coding"
381,"Gm23785","Gm23785","","protein_coding"
382,"Mir6342","Mir6342","","protein_coding"
383,"RP23-313K8.2","RP23-313K8.2","","protein_coding"
384,"RP24-229N7.1","RP24-229N7.1","","protein_coding"
385,"Gm23771","Gm23771","","protein_coding"
386,"Gm27430","Gm27430","","protein_coding"
387,"RP24-172B22.1","RP24-172B22.1","","protein_coding"
388,"RP24-172B22.2","RP24-172B22.2","","protein_coding"
389,"RP24-172B22.4","RP24-172B22.4","","protein_coding"
390,"Phf3","Phf3","","protein_coding"
391,"RP24-172B22.6","RP24-172B22.6","","protein_coding"
392,"RP23-471J16.2","RP23-471J16.2","","protein_coding"
393,"Ptp4a1","Ptp4a1","","protein_coding"
394,"AC153137.2","AC153137.2","","protein_coding"
395,"AC121911.1","AC121911.1","","protein_coding"
396,"AC121911.2","AC121911.2","","protein_coding"
397,"RP24-173I18.1","RP24-173I18.1","","protein_coding"
398,"RP24-173I18.2","RP24-173I18.2","","protein_coding"
399,"Gm27362","Gm27362","","protein_coding"
400,"AC121888.2","AC121888.2","","protein_coding"
401,"RP24-421A2.2","RP24-421A2.2","","protein_coding"
